Movie Name,Username,Review,Rating
Reviews ofAgak Laen2024,Anonymous,"lol, its comedy not horror mystery",3
Reviews ofAgak Laen2024,Anonymous,Peak,5
Reviews ofAgak Laen2024,Anonymous,i didnt get the jokes sorry,2.5
Reviews ofAgak Laen2024,Anonymous,"this movie had me laughing the whole time, like no break at all. just hit after hit, it was absolutely hilarious",5
Reviews ofAgak Laen2024,Anonymous,"not gonna lie, i had fun. film ini chaotic in the best way, tapi emang mostly carried by the humor and the cast’s chemistry.secara teknis, it's actually better than i expected. cinematography nya rapih, ada beberapa frame yang visually interesting. color grading nya juga cocok, a bit warm and dusty, pas banget buat vibe haunted house yang absurd tapi tetep grounded.acting nya surprisingly solid, mereka tuh bener-bener natural, delivery nya dapet, and their timing on point banget. lo…",3
Reviews ofAgak Laen2024,Anonymous,I like this kind of comedy movie.,4
Reviews ofAgak Laen2024,Anonymous,fun to watch,3
Reviews ofAgak Laen2024,Anonymous,"Saya menonton dua kali untuk film ini dan canda guraunya masih terlalu lucu untuk saya. Alurnya menarik, karakter setiap tokohnya juga diperankan dengan luwes.",5
Reviews ofAgak Laen2024,Anonymous,"Agak Laen berhasil jadi kejutan menyenangkan di genre horor-komedi lokal. Balansin komedi khas dunia podcast dengan cerita absurd yang surprisingly rapi. Chemistry keempat aktor utamanya solid, dan timing komedinya ngena banget.Memang ada bagian yang agak draggy di tengah, dan beberapa momen horor terasa lebih slapstick ketimbang seram. Tapi justru itu yang bikin film ini beda nggak berusaha terlalu serius, tapi tetap niat.Nggak cuma lucu, tapi juga punya hati. Jarang-jarang komedi Indonesia bisa se-segar ini.",4
Reviews ofAgak Laen2024,Anonymous,not even funny didnt laugh at all (i laughed once because it was awkwardly so quiet watching it) also their acting sucks so bad oh my god 😭😭 the type of acting yg org2 an stand up indo lakuin sih.. knp coba aktingnya template wkwk,
Reviews ofAgak Laen2024,Anonymous,kocakk abiss,4
Reviews ofAgak Laen2024,Anonymous,Tegang amet ben,3.5
Reviews ofAgak Laen2024,Anonymous,ada satu jokes yg bikin gw ngakakbgt WKKWWKKW nonton ini jg ikutan takut sendiri. emosionalnya jg ada bgt lg waktu ada cekcok. “setannya bataaaaak”,4
Reviews ofAgak Laen2024,Anonymous,nonton berulang kali gabakal bosen,5
Reviews ofAgak Laen2024,Anonymous,komedi nya ga ngebosenin,4.5
Reviews ofAgak Laen2024,Anonymous,jokesnya abang abang bgt wkwkwk harusnya bisa lebih lucu diliat dari banyaknya komika yang ada di film ini dan disayangkan beberapa jokes pun ada yang…? *garuk kepala* hmmmm memang agak laen tapi setidaknya ide dan jalan ceritanya menarik,3
Reviews ofAgak Laen2024,Anonymous,"Ini film lucu sih but not that funny, ada beberapa part yang cringe, tapi masih enjoyable lah menurutku 😅👍👍",3.5
Reviews ofAgak Laen2024,Anonymous,"didnt laugh, didnt cry",3
